[2021-09-07 10:32:45.650] [main] INFO  com.miniw.fesweb.FesWebApplication : Starting FesWebApplication using Java 1.8.0_221 on luoquandeMacBook-Pro.local with PID 16605 (/Users/blacker/IdeaProjects/mini-festival/fes-web/target/classes started by blacker in /Users/blacker/IdeaProjects/mini-festival)
[2021-09-07 11:17:59.987] [task-135] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:17:59 CST 2021, threadName - task-135正在执行月无双预售发放礼包任务
[2021-09-07 11:17:59.987] [task-136] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:17:59 CST 2021, threadName - task-136正在执行柳仙儿预售发放礼包任务
[2021-09-07 11:20:00.006] [task-143] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:20:00 CST 2021, threadName - task-143正在执行月无双预售发放礼包任务
[2021-09-07 11:20:00.007] [task-144] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:20:00 CST 2021, threadName - task-144正在执行柳仙儿预售发放礼包任务
[2021-09-07 11:22:00.004] [task-149] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:22:00 CST 2021, threadName - task-149正在执行柳仙儿预售发放礼包任务
[2021-09-07 11:22:00.004] [task-150] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:22:00 CST 2021, threadName - task-150正在执行月无双预售发放礼包任务
[2021-09-07 11:24:00.007] [task-156] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:24:00 CST 2021, threadName - task-156正在执行月无双预售发放礼包任务
[2021-09-07 11:24:00.007] [task-155] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:24:00 CST 2021, threadName - task-155正在执行柳仙儿预售发放礼包任务
[2021-09-07 11:25:05.440] [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskScheduler : Shutting down ExecutorService 'taskScheduler'
[2021-09-07 11:25:05.442] [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor : Shutting down ExecutorService 'applicationTaskExecutor'
[2021-09-07 11:25:11.444] [main] INFO  com.miniw.fesweb.FesWebApplication : Starting FesWebApplication using Java 1.8.0_221 on luoquandeMacBook-Pro.local with PID 17147 (/Users/blacker/IdeaProjects/mini-festival/fes-web/target/classes started by blacker in /Users/blacker/IdeaProjects/mini-festival)
[2021-09-07 11:25:11.449] [main] INFO  com.miniw.fesweb.FesWebApplication : The following profiles are active: dev
[2021-09-07 11:25:12.483] [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode!
[2021-09-07 11:25:12.485] [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data Redis repositories in DEFAULT mode.
[2021-09-07 11:25:12.516] [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 14 ms. Found 0 Redis repository interfaces.
[2021-09-07 11:25:12.707] [main] INFO  o.s.c.a.ConfigurationClassPostProcessor : Cannot enhance @Configuration bean definition 'mybatisPlusConfig' since its singleton instance has been created too early. The typical cause is a non-static @Bean method with a BeanDefinitionRegistryPostProcessor return type: Consider declaring such methods as 'static'.
